,Job Title,Location,Industry,Sector,salary_average,City,State,Lat,Lng
52,data scientist,"Beavercreek, OH",Government Agencies,Government,41600,Beavercreek,OH,39.7092262,-84.06326849999999
53,data scientist,"Redmond, WA",Consulting,Business Services,41600,Redmond,WA,47.6739881,-122.121512
54,data scientist,"Boston, MA",Insurance Operators,Insurance,41600,Boston,MA,42.3600825,-71.0588801
55,data scientist,"Laurel, MD",Aerospace & Defence,Aerospace & Defence,41600,Laurel,MD,39.0992752,-76.8483061
56,data scientist,"Chicago, IL",Healthcare Services & Hospitals,Healthcare,41600,Chicago,IL,41.8781136,-87.6297982
57,data scientist,"Plano, TX",Enterprise Software & Network Solutions,Information Technology,41600,Plano,TX,33.0198431,-96.6988856
58,data scientist,"Herndon, VA",Enterprise Software & Network Solutions,Information Technology,41600,Herndon,VA,38.9695545,-77.3860976
59,data scientist,"Memphis, TN",Chemical Manufacturing,Manufacturing,41600,Memphis,TN,35.1495343,-90.0489801
60,data scientist,"Norwood, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,41600,Norwood,MA,42.19439089999999,-71.19896949999999
61,data scientist,"Bangor, ME",Commercial Equipment Repair & Maintenance,"Building, Repair & Maintenance",41600,Bangor,ME,44.8016128,-68.7712257
62,data scientist,"Creve Coeur, MO",Staffing & Outsourcing,Business Services,41600,Creve Coeur,MO,38.6608855,-90.42261800000001
63,data scientist,"Enfield, CT",Insurance Operators,Insurance,41600,Enfield,CT,42.0027181,-72.5441445
64,data scientist,"San Diego, CA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,41600,San Diego,CA,32.715738,-117.1610838
65,data scientist,"Lexington, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,41600,Lexington,MA,42.4473497,-71.2271531
66,data scientist,"Bridgewater, NJ",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,41600,Bridgewater,NJ,40.5939636,-74.6049061
67,data scientist,"Mountain View, CA",Enterprise Software & Network Solutions,Information Technology,41600,Mountain View,CA,37.3860517,-122.0838511
68,data scientist,"Novato, CA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,41600,Novato,CA,38.1074198,-122.5697032
69,data scientist,"Saint Louis, MO",IT Services,Information Technology,99500,Saint Louis,MO,38.6270025,-90.19940419999999
70,data scientist,"Irvine, CA",IT Services,Information Technology,99500,Irvine,CA,33.6845673,-117.8265049
71,data scientist,"San Diego, CA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,99500,San Diego,CA,32.715738,-117.1610838
72,data scientist,"Cambridge, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,99500,Cambridge,MA,42.3736158,-71.10973349999999
73,data scientist,"Chicago, IL",Enterprise Software & Network Solutions,Information Technology,99500,Chicago,IL,41.8781136,-87.6297982
74,data scientist,"Morrisville, NC",Computer Hardware & Software,Information Technology,99500,Morrisville,NC,35.823483,-78.8255621
75,data scientist,"New York, NY",Internet,Information Technology,99500,New York,NY,40.7127753,-74.0059728
76,data scientist,"Cambridge, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,99500,Cambridge,MA,42.3736158,-71.10973349999999
77,data scientist,"Annapolis Junction, MD",IT Services,Information Technology,99500,Annapolis Junction,MD,39.1202934,-76.77693239999999
78,data scientist,"Coral Gables, FL",Investment Banking & Asset Management,Finance,99500,Coral Gables,FL,25.7491968,-80.2635411
79,data scientist,"Novato, CA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,99500,Novato,CA,38.1074198,-122.5697032
80,data scientist,Remote,Enterprise Software & Network Solutions,Information Technology,99500,Remote,,45.3332482,-122.5728874
81,data scientist,"Dearborn, MI",Advertising & Marketing,Business Services,99500,Dearborn,MI,42.3222599,-83.17631449999999
82,data scientist,"Milwaukee, WI",Food & Drink Manufacturing,Manufacturing,99500,Milwaukee,WI,43.0389025,-87.9064736
