Job Title,Location,Industry,Sector,salary_average
data scientist,"Hauppauge, NY",-1,-1,99500
data scientist,"New York, NY",Internet,Information Technology,99500
data scientist,"Madison, WI",Insurance Operators,Insurance,99500
data scientist,"Aurora, IL",Healthcare Services & Hospitals,Healthcare,99500
data scientist,"Westlake, TX",Investment Banking & Asset Management,Finance,99500
data scientist,"San Francisco, CA",Enterprise Software & Network Solutions,Information Technology,124500
data scientist,"Dallas, TX",-1,-1,124500
data scientist,"San Antonio, TX",Staffing & Outsourcing,Business Services,124500
data scientist,"Cambridge, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,124500
data scientist,"Mountain View, CA",Enterprise Software & Network Solutions,Information Technology,124500
data scientist,"Atlanta, GA",Computer Hardware & Software,Information Technology,124500
data scientist,"Memphis, TN",Healthcare Services & Hospitals,Healthcare,124500
data scientist,"New York, NY",Consulting,Business Services,124500
data scientist,"New York, NY",Research & Development,Business Services,124500
data scientist,"Akron, OH",Consumer Products Manufacturing,Manufacturing,124500
data scientist,"Cambridge, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,124500
data scientist,"Blue Ash, OH",Grocery Shops & Supermarkets,Retail,124500
data scientist,"United States , Raleigh",IT Services,Information Technology,124500
data scientist,"Appleton, WI",Insurance Operators,Insurance,124500
data scientist,"Vicksburg, MS",IT Services,Information Technology,124500
data scientist,"Cambridge, MA",Enterprise Software & Network Solutions,Information Technology,124500
data scientist,"Novi, MI",Computer Hardware & Software,Information Technology,124500
data scientist,"San Antonio, TX",Insurance Operators,Insurance,124500
data scientist,"Philadelphia, PA",Insurance Operators,Insurance,124500
data scientist,"Pittsburgh, PA",Architectural & Engineering Services,Business Services,124500
data scientist,"Saint Louis, MO",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,124500
data scientist,"Austin, TX",Video Games,Media,124500
data scientist,"Vicksburg, MS",IT Services,Information Technology,57000
data scientist,"New Orleans, LA",Enterprise Software & Network Solutions,Information Technology,57000
data scientist,"San Rafael, CA","Department, Clothing, & Shoe Shops",Retail,57000
data scientist,"New York, NY",Insurance Operators,Insurance,57000
data scientist,"Stamford, CT","Cable, Internet & Telephone Providers",Telecommunications,57000
data scientist,"New York, NY",Insurance Operators,Insurance,57000
data scientist,United States,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,57000
data scientist,"Alexandria, VA",Internet,Information Technology,57000
data scientist,"Boston, MA",IT Services,Information Technology,57000
data scientist,"Seattle, WA",Energy,"Oil, Gas, Energy & Utilities",57000
