,job_title,salary_offered,category,job_board,city,state,C#,R,Agile,AWS,Azure,DATA STUDIO,Degree,GOLang,Hadoop,Hive,INSIGHT,JAVA,KAFKA,MATLAB,MATPLOTLIB,NOSQL,PANDAS,PERL,PIG,POSTGRESQL,POWERBI,PYTHON,QLIKVIEW,R CLOUD,SCALA,SPARK,SQL,SCIKITLEARN,TABLEAU,UNIX
34,data scientist,,Engineering/Architecture,indeed,Palo Alto,CA,1.0,1,0,0,0,0.0,0,0,1,0,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
35,data scientist,,Manufacturing/Mechanical,indeed,Philadelphia,PA,0.0,1,0,0,0,0.0,1,0,1,1,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0
36,data scientist,,Engineering/Architecture,indeed,San Francisco,CA,0.0,1,0,0,0,0.0,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
37,data scientist,,Manufacturing/Mechanical,indeed,Charlotte,NC,0.0,1,0,0,0,0.0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38,data scientist,,life physical and social science,careerbuilder,Irvine,CA,0.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,data scientist,,,dice,New York,NY,0.0,1,0,0,0,0.0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
40,data scientist,,,dice,New York,NY,0.0,1,0,0,0,0.0,0,0,1,1,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0
41,data scientist,,,dice,South San Francisco,CA,0.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
42,data scientist,,,dice,San Francisco,CA,0.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
43,data scientist,,,dice,Jersey City,NJ,0.0,1,0,0,0,0.0,0,0,1,0,,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
