Job Skill
SQL
Python
Machine Learning
Data Science
Mathematics
Statistics
Algorithms
Models
Regression
R
Cloud
HIVE
Pig
Big Data
NoSQL
Hadoop
PostgreSQL
Spark
Development
Quantitative
Analysis
ML
Tableau
Insight
Analytical
API
SAS
Scala
C#
Perl
PowerBI
QlikView
Neural Networks
Predictive
Prescriptive
Performance
NLP
Data Modeling
Azure
AWS
Computer Vision
Agile
Jupyter
Matplotlib
Pandas
Numpy
Query
Deep Learning
Clustering
ETL
ELT
